year,rank,city,med_park_size_data,med_park_size_points,park_pct_city_data,park_pct_city_points,pct_near_park_data,pct_near_park_points,spend_per_resident_data,spend_per_resident_points,basketball_data,basketball_points,dogpark_data,dogpark_points,playground_data,playground_points,rec_sr_data,rec_sr_points,restroom_data,restroom_points,splashground_data,splashground_points,amenities_points,total_points,total_pct,city_dup,park_benches
2020,12,Madison,4.7,21.0,14%,36.0,95%,93.0,$134,74.0,10.5,100.0,3.0,100.0,7.0,100.0,0.1,1.0,2.7,85.0,1.1,41.0,71.2,295.0,73.8,Madison,
2020,13,St. Louis,2.3,9.0,10%,23.0,98%,97.0,$199,100.0,2.8,34.0,1.9,78.0,2.9,45.0,0.6,41.0,2.4,73.0,2.6,97.0,61.3,290.0,72.6,St. Louis,
2020,14,Seattle,2.4,10.0,13%,32.0,96%,95.0,$320,100.0,3.3,43.0,1.9,78.0,2.1,26.0,0.7,47.0,2.4,73.0,1.2,45.0,52.0,289.0,72.3,Seattle,
2020,15,Pittsburgh,2.2,9.0,10%,26.0,92%,88.0,$142,79.0,6.1,95.0,2.3,94.0,3.9,68.0,1.7,100.0,0.6,14.0,9.1,100.0,78.5,281.0,70.1,Pittsburgh,
2020,15,Philadelphia,3.0,12.0,13%,33.0,95%,93.0,$138,77.0,4.9,73.0,0.5,10.0,2.8,43.0,2.3,100.0,2.2,66.0,5.8,100.0,65.3,280.0,70.1,Philadelphia,
2020,17,Plano,13.5,50.0,10%,25.0,75%,63.0,$226,100.0,7.1,100.0,1.0,34.0,2.3,32.0,0.3,19.0,1.5,45.0,0.7,22.0,42.0,280.0,70.0,Plano,
2020,18,San Diego,6.8,32.0,19%,50.0,81%,71.0,$153,86.0,2.8,35.0,1.2,44.0,2.4,33.0,1.0,65.0,1.5,44.0,0.1,2.0,37.2,276.0,69.0,San Diego,
2020,19,St. Petersburg,3.5,15.0,16%,40.0,75%,63.0,$148,83.0,4.1,58.0,2.3,94.0,3.4,58.0,1.2,82.0,4.7,100.0,1.1,40.0,72.0,273.0,68.3,St. Petersburg,
2020,20,New Orleans,2.0,8.0,26%,50.0,80%,70.0,$165,94.0,3.3,44.0,0.8,23.0,4.8,91.0,0.7,47.0,2.6,81.0,0.3,6.0,48.7,271.0,67.7,New Orleans,
2020,21,Boise,7.3,34.0,9%,23.0,69%,53.0,$172,98.0,2.2,23.0,6.0,100.0,3.4,56.0,1.0,66.0,2.8,87.0,0.9,31.0,60.5,269.0,67.1,Boise,
2020,22,Denver,6.7,31.0,8%,20.0,91%,86.0,$130,72.0,4.8,71.0,1.8,71.0,3.6,61.0,0.8,54.0,1.2,35.0,1.6,60.0,58.7,268.0,66.9,Denver,
2020,23,Long Beach,3.2,14.0,10%,25.0,84%,76.0,$180,100.0,1.6,13.0,2.1,85.0,1.4,10.0,1.3,88.0,3.7,100.0,0.2,4.0,50.0,265.0,66.3,Long Beach,
2020,24,Aurora,8.0,37.0,11%,27.0,88%,82.0,$149,84.0,1.6,13.0,1.1,37.0,2.2,28.0,0.2,11.0,1.7,51.0,1.3,48.0,31.3,261.0,65.3,Aurora,
2020,25,Lincoln,6.4,30.0,7%,16.0,92%,88.0,$108,58.0,8.7,100.0,1.4,52.0,4.6,85.0,0.6,39.0,4.0,100.0,0.7,23.0,66.5,259.0,64.6,Lincoln,
2020,26,Virginia Beach,5.2,24.0,18%,46.0,68%,51.0,$185,100.0,3.3,44.0,0.7,18.0,4.1,74.0,0.3,17.0,2.1,65.0,0.2,5.0,37.2,258.0,64.5,Virginia Beach,
2020,27,Henderson,5.8,26.0,13%,34.0,60%,38.0,$141,78.0,8.2,100.0,5.2,100.0,2.9,45.0,0.5,32.0,4.7,100.0,5.5,100.0,79.5,256.0,63.9,Henderson,
2020,28,Milwaukee,4.6,21.0,9%,23.0,90%,86.0,$112,61.0,5.7,89.0,0.5,11.0,3.9,68.0,0.9,61.0,5.0,100.0,1.5,56.0,64.2,255.0,63.8,Milwaukee,
2020,29,Cleveland,3.9,17.0,7%,15.0,83%,75.0,$137,76.0,6.1,96.0,0.8,24.0,3.7,64.0,1.2,79.0,1.0,29.0,10.6,100.0,65.3,248.0,62.1,Cleveland,
2020,30,Sacramento,5.4,25.0,9%,21.0,83%,75.0,$122,67.0,1.6,12.0,3.0,100.0,4.2,75.0,0.6,41.0,1.1,33.0,4.5,100.0,60.2,248.0,62.0,Sacramento,
2020,31,Raleigh,6.7,31.0,13%,33.0,58%,36.0,$157,88.0,5.2,80.0,1.3,47.0,2.2,29.0,1.6,100.0,2.1,63.0,1.1,38.0,59.5,248.0,61.9,Raleigh,
2020,32,Kansas City,11.7,50.0,9%,22.0,70%,54.0,$132,73.0,2.7,32.0,0.8,24.0,4.4,81.0,0.4,25.0,0.8,23.0,3.0,100.0,47.5,247.0,61.6,Kansas City,
2020,33,Fremont,6.4,30.0,49%,50.0,70%,54.0,$114,62.0,2.1,21.0,2.2,89.0,2.2,29.0,0.5,32.0,4.2,100.0,0.4,13.0,47.3,243.0,60.8,Fremont,
2020,34,Des Moines,11.2,50.0,13%,32.0,70%,55.0,$94,50.0,2.7,33.0,1.3,49.0,2.6,38.0,0.8,52.0,2.1,62.0,7.4,100.0,55.7,243.0,60.7,Des Moines,
2020,35,Albuquerque,4.3,19.0,23%,50.0,87%,81.0,$62,30.0,2.4,27.0,2.4,100.0,3.2,52.0,1.3,91.0,1.5,44.0,1.4,51.0,60.8,241.0,60.2,Albuquerque,
2020,36,San Jose,3.0,13.0,15%,40.0,82%,74.0,$108,58.0,1.8,15.0,1.3,46.0,3.1,50.0,1.0,65.0,1.1,32.0,2.0,75.0,47.2,232.0,58.0,San Jose,
2020,37,Austin,8.2,39.0,10%,25.0,60%,39.0,$147,82.0,2.5,28.0,1.3,50.0,1.6,14.0,0.6,35.0,1.2,34.0,2.7,100.0,43.5,229.0,57.1,Austin,
2020,38,Omaha,6.7,31.0,13%,33.0,81%,72.0,$79,40.0,5.1,77.0,0.4,6.0,4.1,73.0,0.6,40.0,1.2,35.0,1.7,61.0,48.7,225.0,56.2,Omaha,
2020,39,Anchorage,4.7,21.0,84%,50.0,75%,62.0,$93,49.0,1.7,14.0,3.0,100.0,2.9,46.0,0.3,19.0,1.6,48.0,0.0,0.0,37.8,220.0,55.0,Anchorage,
2020,40,Atlanta,2.9,12.0,6%,14.0,72%,58.0,$151,85.0,2.6,30.0,1.0,34.0,2.8,42.0,1.5,100.0,0.4,10.0,2.2,82.0,49.7,219.0,54.7,Atlanta,
2020,41,Honolulu,6.1,28.0,15%,39.0,79%,69.0,$77,39.0,3.7,52.0,0.5,10.0,1.6,14.0,1.6,100.0,2.1,65.0,0.0,0.0,40.2,215.0,53.8,Honolulu,
2020,42,Las Vegas,1.1,3.0,20%,50.0,75%,62.0,$84,43.0,1.2,5.0,3.8,100.0,3.1,51.0,0.7,46.0,1.2,34.0,5.2,100.0,56.0,214.0,53.5,Las Vegas,
2020,43,Buffalo,1.1,3.0,8%,18.0,90%,85.0,$86,44.0,6.3,100.0,0.8,23.0,2.3,32.0,0.7,45.0,2.3,72.0,4.2,100.0,62.0,212.0,53.0,Buffalo,
2020,44,Scottsdale,13.5,50.0,27%,50.0,40%,9.0,$109,59.0,1.4,8.0,1.2,43.0,1.5,12.0,0.7,47.0,3.0,92.0,1.6,58.0,43.3,211.0,52.8,Scottsdale,
2020,45,Anaheim,8.3,39.0,15%,37.0,67%,50.0,$115,63.0,1.4,8.0,0.8,26.0,1.6,15.0,0.2,11.0,1.7,50.0,0.6,18.0,21.3,210.0,52.6,Anaheim,
2020,46,Chesapeake,7.2,34.0,26%,50.0,43%,13.0,$100,53.0,12.0,100.0,2.0,82.0,3.6,62.0,1.0,65.0,1.1,32.0,0.4,12.0,58.8,209.0,52.2,Chesapeake,
2020,47,Jersey City,0.6,1.0,18%,47.0,94%,91.0,$32,11.0,2.7,32.0,2.1,88.0,1.2,5.0,0.9,62.0,0.5,13.0,3.9,100.0,50.0,200.0,50.0,Jersey City,
2020,48,Norfolk,1.6,6.0,5%,11.0,75%,63.0,$84,43.0,16.2,100.0,5.2,100.0,6.6,100.0,1.9,100.0,0.6,17.0,1.2,43.0,76.7,200.0,49.9,Norfolk,
2020,49,Columbus,7.7,36.0,8%,20.0,68%,51.0,$94,49.0,6.8,100.0,0.7,19.0,2.9,45.0,0.7,44.0,1.0,29.0,0.7,23.0,43.3,199.0,49.8,Columbus,
2020,49,Los Angeles,4.8,22.0,13%,32.0,62%,42.0,$132,73.0,3.5,47.0,0.3,2.0,1.1,4.0,1.1,77.0,1.3,40.0,0.4,12.0,30.3,199.0,49.8,Los Angeles,
2020,51,Oakland,2.1,8.0,12%,29.0,89%,83.0,$65,31.0,2.6,31.0,3.8,100.0,1.8,18.0,1.2,78.0,1.3,40.0,0.0,0.0,44.5,196.0,48.9,Oakland,
2020,52,Orlando,3.4,15.0,6%,14.0,64%,45.0,$119,65.0,5.0,75.0,1.0,35.0,2.0,24.0,1.4,98.0,4.2,100.0,0.0,0.0,55.3,194.0,48.6,Orlando,
2020,53,Colorado Springs,6.3,29.0,9%,23.0,74%,61.0,$80,41.0,2.8,35.0,1.7,66.0,3.0,47.0,0.3,16.0,1.3,39.0,0.8,29.0,38.7,193.0,48.2,Colorado Springs,
2020,54,Dallas,7.7,36.0,9%,23.0,71%,56.0,$108,58.0,2.4,26.0,0.3,1.0,1.7,17.0,0.6,40.0,0.1,1.0,0.8,27.0,18.7,192.0,47.9,Dallas,
2020,55,Tulsa,9.8,47.0,7%,16.0,60%,39.0,$93,49.0,1.7,13.0,0.5,10.0,2.4,33.0,0.4,23.0,1.3,37.0,8.3,100.0,36.0,187.0,46.8,Tulsa,
2020,56,Tampa,4.5,20.0,8%,17.0,63%,43.0,$48,21.0,5.9,92.0,3.9,100.0,2.3,32.0,1.8,100.0,2.8,85.0,2.6,97.0,84.3,185.0,46.3,Tampa,
2020,56,Phoenix,14.6,50.0,15%,38.0,49%,22.0,$89,47.0,1.8,16.0,0.7,22.0,1.7,17.0,0.4,23.0,2.4,72.0,0.6,18.0,28.0,185.0,46.3,Phoenix,
2020,58,Baltimore,0.8,2.0,10%,23.0,87%,81.0,$73,37.0,2.6,30.0,0.5,10.0,3.3,54.0,1.5,100.0,0.6,16.0,1.0,35.0,40.8,184.0,46.0,Baltimore,
2020,59,"Arlington, Texas",12.6,50.0,8%,18.0,58%,36.0,$102,55.0,1.7,14.0,0.5,11.0,1.5,14.0,0.3,17.0,1.2,36.0,1.3,46.0,23.0,182.0,45.5,"Arlington, Texas",
2020,60,North Las Vegas,7.1,33.0,26%,50.0,64%,45.0,$52,24.0,1.9,18.0,0.8,25.0,1.8,20.0,0.2,7.0,1.0,28.0,1.6,59.0,26.2,178.0,44.5,North Las Vegas,
2020,60,Riverside,10.5,50.0,7%,16.0,51%,26.0,$78,39.0,3.0,38.0,0.6,16.0,1.5,11.0,1.1,76.0,2.4,72.0,1.9,68.0,46.8,178.0,44.5,Riverside,
2020,62,Lexington,11.1,50.0,2%,3.0,54%,29.0,$79,40.0,3.9,56.0,1.8,74.0,3.1,49.0,0.5,30.0,2.4,73.0,1.2,44.0,54.3,176.0,44.1,Lexington,
2020,63,Bakersfield,9.1,43.0,6%,13.0,46%,18.0,$86,45.0,2.1,21.0,2.1,84.0,3.0,48.0,0.3,14.0,2.3,69.0,3.4,100.0,56.0,175.0,43.8,Bakersfield,
2020,64,Miami,2.6,11.0,7%,15.0,87%,81.0,$48,21.0,3.1,40.0,0.9,28.0,1.3,8.0,1.6,100.0,3.8,100.0,0.0,0.0,46.0,174.0,43.5,Miami,
2020,65,Chandler,8.4,39.0,4%,7.0,62%,43.0,$76,38.0,3.1,41.0,1.4,55.0,3.4,57.0,0.5,31.0,1.8,54.0,1.1,38.0,46.0,173.0,43.3,Chandler,
2020,66,El Paso,2.8,12.0,19%,50.0,59%,38.0,$56,26.0,4.4,65.0,0.7,21.0,4.1,73.0,0.8,53.0,0.6,17.0,1.3,46.0,45.8,172.0,43.0,El Paso,
2020,66,Greensboro,5.0,23.0,10%,25.0,63%,44.0,$67,33.0,1.5,11.0,1.0,35.0,3.6,62.0,0.8,54.0,2.7,83.0,1.0,36.0,46.8,172.0,43.0,Greensboro,
2020,68,Reno,5.0,23.0,5%,12.0,76%,63.0,$52,23.0,3.6,50.0,1.2,41.0,2.0,25.0,0.3,17.0,2.1,64.0,2.7,100.0,49.5,171.0,42.6,Reno,
2020,69,Newark,0.9,2.0,6%,13.0,94%,91.0,$53,24.0,2.6,31.0,0.4,3.0,1.0,1.0,0.8,56.0,1.1,32.0,3.5,100.0,37.2,167.0,41.8,Newark,
2020,70,Chula Vista,6.9,32.0,8%,18.0,67%,50.0,$43,18.0,2.0,19.0,2.6,100.0,3.5,60.0,0.7,42.0,1.5,45.0,0.7,25.0,48.5,167.0,41.6,Chula Vista,
2020,70,Nashville,16.7,50.0,11%,26.0,43%,13.0,$83,42.0,3.8,54.0,1.2,41.0,2.1,28.0,0.8,51.0,0.9,25.0,0.4,13.0,35.3,166.0,41.6,Nashville,
2020,72,Durham,8.3,39.0,4%,7.0,51%,26.0,$76,38.0,4.2,60.0,1.5,55.0,2.0,25.0,0.7,47.0,3.0,94.0,1.5,53.0,55.7,166.0,41.4,Durham,
2020,73,Detroit,2.4,9.0,6%,13.0,80%,70.0,$80,41.0,2.6,31.0,0.9,30.0,2.7,40.0,0.5,32.0,0.5,12.0,1.2,43.0,31.3,164.0,41.1,Detroit,
2020,74,Glendale,4.8,21.0,6%,12.0,75%,62.0,$43,18.0,4.9,73.0,1.2,44.0,3.9,69.0,0.6,41.0,0.7,19.0,1.6,59.0,50.8,164.0,41.0,Glendale,
2020,75,San Antonio,10.0,47.0,11%,28.0,43%,13.0,$89,46.0,1.7,13.0,1.0,32.0,1.8,20.0,0.8,51.0,1.5,45.0,0.5,15.0,29.3,163.0,40.8,San Antonio,
2020,76,Corpus Christi,3.3,14.0,9%,20.0,75%,63.0,$58,27.0,2.7,32.0,0.6,15.0,4.3,78.0,0.7,47.0,1.4,41.0,0.6,20.0,38.8,163.0,40.7,Corpus Christi,
2020,77,Toledo,5.5,25.0,6%,14.0,81%,72.0,$40,16.0,3.2,41.0,0.7,21.0,3.9,69.0,0.4,26.0,0.6,18.0,0.7,24.0,33.2,160.0,40.0,Toledo,
2020,78,Houston,4.7,21.0,12%,29.0,61%,40.0,$82,42.0,2.6,30.0,0.7,18.0,1.9,21.0,0.6,40.0,0.7,19.0,1.1,38.0,27.7,160.0,39.9,Houston,
2020,79,Jacksonville,5.8,27.0,14%,37.0,35%,1.0,$66,32.0,2.4,26.0,0.5,12.0,3.5,60.0,1.3,90.0,6.0,100.0,2.2,80.0,61.3,158.0,39.6,Jacksonville,
2020,80,Wichita,11.3,50.0,5%,11.0,54%,29.0,$67,33.0,1.0,1.0,1.0,34.0,2.2,28.0,0.4,24.0,2.0,62.0,1.5,55.0,34.0,157.0,39.3,Wichita,
2020,81,Louisville,7.5,35.0,8%,19.0,38%,6.0,$69,34.0,2.7,33.0,1.3,46.0,3.3,55.0,0.6,36.0,3.6,100.0,6.0,100.0,61.7,156.0,38.9,Louisville,
2020,82,Winston-Salem,9.2,43.0,5%,11.0,37%,4.0,$81,41.0,1.2,5.0,1.2,44.0,1.9,22.0,1.4,93.0,2.1,64.0,4.8,100.0,54.7,154.0,38.4,Winston-Salem,
2020,83,Garland,9.6,46.0,7%,17.0,63%,43.0,$57,26.0,2.2,23.0,0.0,0.0,1.4,10.0,0.6,41.0,1.2,34.0,0.0,0.0,18.0,150.0,37.5,Garland,
2020,84,Tucson,5.5,25.0,3%,5.0,63%,44.0,$53,24.0,4.9,73.0,1.4,55.0,2.7,41.0,0.8,55.0,1.8,54.0,0.7,24.0,50.3,148.0,37.1,Tucson,
2020,85,Santa Ana,6.0,28.0,4%,8.0,75%,63.0,$53,24.0,2.1,22.0,0.0,0.0,1.2,6.0,0.9,63.0,1.6,47.0,0.0,0.0,23.0,146.0,36.5,Santa Ana,
2020,86,Laredo,4.1,18.0,2%,2.0,54%,31.0,$59,28.0,9.4,100.0,1.5,57.0,2.6,38.0,0.8,54.0,1.0,28.0,4.5,100.0,62.8,142.0,35.5,Laredo,
2020,87,Stockton,6.0,28.0,3%,5.0,74%,60.0,$15,1.0,3.4,47.0,1.0,32.0,2.3,31.0,0.4,23.0,2.7,85.0,1.6,58.0,46.0,140.0,35.0,Stockton,
2020,88,Memphis,10.0,48.0,5%,9.0,46%,17.0,$76,38.0,2.9,37.0,0.6,16.0,1.8,20.0,0.9,63.0,0.1,1.0,0.5,14.0,25.2,137.0,34.3,Memphis,
2020,89,Irving,3.2,14.0,5%,11.0,64%,45.0,$72,36.0,1.1,3.0,1.2,44.0,3.0,48.0,0.8,53.0,0.2,5.0,0.8,28.0,30.2,136.0,34.0,Irving,
2020,90,Hialeah,4.4,20.0,2%,1.0,69%,52.0,$33,11.0,5.1,77.0,0.0,0.0,1.0,1.0,1.5,100.0,2.2,67.0,1.3,45.0,48.3,132.0,33.1,Hialeah,
2020,91,Baton Rouge,4.2,19.0,3%,5.0,54%,30.0,$44,19.0,8.0,100.0,0.8,27.0,2.6,39.0,2.9,100.0,1.2,36.0,0.8,29.0,55.2,128.0,32.0,Baton Rouge,
2020,92,Fresno,2.2,9.0,4%,8.0,67%,51.0,$42,17.0,4.6,68.0,1.3,49.0,2.6,38.0,0.6,38.0,0.9,26.0,0.9,33.0,42.0,127.0,31.8,Fresno,
2020,93,Lubbock,9.7,46.0,3%,4.0,56%,33.0,$35,13.0,4.8,71.0,0.8,23.0,2.2,28.0,0.4,22.0,1.3,38.0,0.0,0.0,30.3,126.0,31.6,Lubbock,
2020,94,Fort Worth,7.7,36.0,6%,13.0,61%,40.0,$56,26.0,1.2,5.0,0.3,2.0,2.3,31.0,0.3,17.0,0.2,3.0,0.1,1.0,9.8,125.0,31.2,Fort Worth,
2020,95,Charlotte/Mecklenburg County,16.5,50.0,6%,13.0,37%,3.0,$56,26.0,3.7,51.0,0.6,17.0,2.1,26.0,0.5,28.0,0.6,14.0,0.8,28.0,27.3,119.0,29.8,Charlotte,
2020,96,Mesa,2.8,12.0,4%,8.0,66%,48.0,$65,32.0,2.8,34.0,0.4,5.0,1.3,8.0,0.2,12.0,0.7,18.0,0.6,19.0,16.0,116.0,29.0,Mesa,
2020,97,Oklahoma City,5.0,22.0,5%,10.0,38%,5.0,$57,26.0,1.7,14.0,0.3,1.0,1.6,16.0,0.7,42.0,1.1,31.0,2.4,89.0,32.2,95.0,23.8,Oklahoma City,
2019,1,"Washington, D.C.",1.4,5.0,21%,50.0,98,97.5,$270,100.0,5.9,97.5,1.9,85.0,1.7,25.0,2.3,100.0,2.9,88.0,3.9,100.0,82.5,,83.8,"Washington, D.C.",
2019,2,St. Paul,3.2,15.0,15%,40.0,98%,97.5,$220,100.0,7.7,100.0,1.3,55.0,4.0,77.5,1.7,100.0,3.2,100.0,1.3,50.0,80.4,,83.2,St. Paul,
2019,3,Minneapolis,5.7,27.5,15%,37.5,96%,95.0,$299,100.0,3.5,52.5,1.7,75.0,4.1,77.5,2.3,100.0,3.0,90.0,0.2,8.0,67.1,,81.8,Minneapolis,
2019,4,"Arlington, Virginia",2.4,10.0,11%,27.5,98%,97.5,$267,100.0,7.8,100.0,3.5,100.0,4.4,87.5,1.1,73.0,3.1,95.0,2.2,85.0,90.0,,81.3,"Arlington, Virginia",
2019,5,Portland,4.9,22.5,18%,47.5,89%,85.0,$224,100.0,3.8,57.5,5.4,100.0,2.1,32.5,0.6,38.0,2.0,60.0,2.5,95.0,63.8,,79.7,Portland,
2019,6,Irvine,6.1,30.0,27%,50.0,80%,72.5,$252,100.0,17.7,100.0,0.4,5.0,4.0,77.5,1.8,100.0,3.0,90.0,0.4,13.0,64.2,,79.2,Irvine,
2019,7,San Francisco,1.3,5.0,20%,50.0,100%,100.0,$318,100.0,4.1,65.0,4.2,100.0,2.6,42.5,0.8,50.0,2.6,78.0,0.8,30.0,60.8,,79.0,San Francisco,
2019,8,Cincinnati,4.4,20.0,14%,35.0,77%,67.5,$193,100.0,8.9,100.0,1.3,52.5,5.0,100.0,1.5,98.0,3.1,95.0,4.5,100.0,90.8,,78.3,Cincinnati,
2019,9,New York,1.1,5.0,22%,50.0,99%,100.0,$198,100.0,4.0,62.5,1.7,75.0,2.1,32.5,0.1,3.0,0.8,23.0,6.8,100.0,49.2,,76.0,New York,
2019,10,Chicago,2.2,10.0,10%,25.0,98%,97.5,$171,95.0,4.6,72.5,0.9,35.0,3.6,67.5,1.7,100.0,2.4,70.0,8.7,100.0,74.2,,75.4,Chicago,
2019,11,Seattle,2.4,10.0,13%,32.5,96%,95.0,$279,100.0,3.3,47.5,2.0,90.0,2.1,32.5,0.8,48.0,2.4,73.0,1.3,48.0,56.3,,73.4,Seattle,
2019,12,Madison,4.7,22.5,14%,35.0,94%,92.5,$130,70.0,10.6,100.0,3.9,100.0,7.0,100.0,0.1,3.0,2.7,83.0,1.2,43.0,71.3,,72.8,Madison,
2019,13,Boston,1.4,5.0,17%,45.0,100%,100.0,$131,70.0,3.3,47.5,1.8,80.0,3.9,75.0,0.9,60.0,1.0,30.0,10.5,100.0,65.4,,71.4,Boston,
2019,14,St. Louis,2.3,10.0,9%,22.5,95%,95.0,$261,100.0,2.7,37.5,1.6,70.0,2.7,47.5,0.6,40.0,2.2,68.0,1.9,73.0,55.8,,70.8,St. Louis,
2019,15,Plano,13.5,50.0,10%,22.5,75%,65.0,$211,100.0,7.3,100.0,0.3,2.5,4.6,90.0,0.3,20.0,1.5,45.0,0.3,10.0,44.6,,70.5,Plano,
2019,16,San Diego,6.8,32.5,19%,50.0,79%,70.0,$154,85.0,2.8,37.5,1.1,45.0,2.2,35.0,1.0,60.0,1.5,43.0,0.1,3.0,37.1,,68.6,San Diego,
2019,17,St. Petersburg,3.5,15.0,16%,40.0,75%,65.0,$140,77.5,4.1,62.5,2.3,100.0,3.5,65.0,1.2,80.0,4.8,100.0,1.2,43.0,75.0,,68.1,St. Petersburg,
2019,19,Long Beach,3.2,15.0,10%,25.0,83%,77.5,$205,100.0,1.6,15.0,2.1,97.5,1.4,17.5,1.1,73.0,3.7,100.0,0.0,0.0,50.4,,67.0,Long Beach,
2019,18,Philadelphia,3.0,12.5,13%,35.0,95%,95.0,$123,65.0,4.8,77.5,0.4,7.5,1.6,22.5,2.0,100.0,1.6,48.0,5.0,100.0,59.2,,66.7,Philadelphia,
2019,21,New Orleans,2.0,7.5,26%,50.0,80%,72.5,$177,100.0,1.6,15.0,0.8,25.0,2.5,42.5,0.7,45.0,2.6,78.0,0.3,8.0,35.4,,66.4,New Orleans,
2019,20,Boise,7.3,35.0,9%,22.5,69%,55.0,$162,90.0,2.2,27.5,5.7,100.0,3.4,62.5,1.0,63.0,2.9,88.0,0.9,33.0,62.1,,66.1,Boise,
2019,22,Pittsburgh,2.2,10.0,10%,25.0,91%,87.5,$117,62.5,4.7,75.0,2.3,100.0,3.8,72.5,1.7,100.0,0.6,15.0,8.7,100.0,77.1,,65.5,Pittsburgh,
2019,23,Aurora,8.0,37.5,11%,25.0,88%,82.5,$145,80.0,1.6,15.0,1.1,42.5,2.2,35.0,0.2,10.0,1.7,50.0,1.3,50.0,33.8,,64.7,Aurora,
2019,24,Milwaukee,4.6,22.5,9%,22.5,90%,87.5,$124,65.0,5.7,95.0,0.5,12.5,2.8,47.5,0.9,58.0,4.5,100.0,1.2,45.0,59.6,,64.3,Milwaukee,
2019,25,Lincoln,6.4,30.0,7%,17.5,91%,87.5,$101,52.5,8.8,100.0,1.4,60.0,4.6,90.0,0.6,38.0,4.0,100.0,0.7,25.0,68.8,,64.1,Lincoln,
2019,26,Henderson,8.0,40.0,13%,35.0,52%,30.0,$136,75.0,3.7,57.5,5.0,100.0,2.9,52.5,0.5,33.0,5.0,100.0,5.7,100.0,73.8,,63.4,Henderson,
2019,27,Sacramento,5.4,25.0,7%,15.0,82%,75.0,$125,67.5,3.2,47.5,2.4,100.0,4.1,80.0,0.7,43.0,1.5,43.0,5.2,100.0,68.8,,62.8,Sacramento,
2019,30,Raleigh,4.4,20.0,11%,27.5,57%,37.5,$194,100.0,5.2,85.0,1.1,42.5,2.2,35.0,1.6,100.0,2.1,63.0,0.9,30.0,59.2,,61.0,Raleigh,
2019,28,Denver,6.7,32.5,8%,20.0,90%,87.5,$115,60.0,1.4,12.5,1.8,82.5,3.5,65.0,0.8,50.0,0.8,23.0,0.8,30.0,43.8,,60.9,Denver,
2019,29,Virginia Beach,3.9,17.5,16%,40.0,64%,47.5,$188,100.0,3.3,47.5,0.6,20.0,4.1,77.5,0.3,18.0,2.1,65.0,0.2,5.0,38.8,,60.9,Virginia Beach,
2019,33,Fremont,6.4,30.0,49%,50.0,68%,55.0,$112,57.5,2.1,25.0,2.6,100.0,2.0,30.0,0.5,30.0,2.3,70.0,0.4,15.0,45.0,,59.4,Fremont,
